Timestamp;TA1;TA2;TA3;TA4;TA5;TB1;TB2;TB3;TB4;TB5;TC1;TC2;TC3;TC4;TC5;TD1;PZ;PX;FLLR1;FLHR1;XV;ZV;AV;VS;HT;ST;SP1;PC
2024-05-23-09:33:48.969;1372;447;446;423;453;442;454;454;421;1372;1372;1372;1372;1372;1372;1372;-26,9999998;0,001797732;-0,050141573;-0,631736755;0,1894703507423401;-5,21E-05;0;Off;-1;-1;10,58990478515625;7405,959473
2024-05-23-09:33:49.969;1372;447;446;425;452;442;454;453;420;1372;1372;1372;1372;1372;1372;1372;-26,9999998;0,1556161572933661;-0,048310399;-0,412002563;1,124610424041748;-6,92E-06;0;Off;-1;-1;8,514648438;7423,719238
2024-05-23-09:33:50.969;1372;447;446;425;453;442;453;453;419;1372;1372;1372;1372;1372;1372;1372;-26,9999998;5,250275666427683;-0,050141573;-0,601211548;10,71087646484375;-6,23E-06;0;Off;-1;-1;10,58990478515625;7469,388184
2024-05-23-09:33:51.969;1372;447;445;425;453;439;453;453;418;1372;1372;1372;1372;1372;1372;1372;-26,9999998;25,00889848334316;-0,048249364;-0,424209595;30,45709228515625;-2,44E-06;0;Off;-1;-1;8,392578125;8189,940918
2024-05-23-09:33:52.969;1372;447;445;424;452;441;453;452;417;1372;1372;1372;1372;1372;1372;1372;-26,9999998;69,39357033;-0,048188329;-0,412002563;59,32012176513672;-4,42E-06;0;Off;-1;-1;8,392578125;7480,551758
2024-05-23-09:33:53.969;1372;446;445;424;452;441;453;452;417;1372;1372;1372;1372;1372;1372;1372;-26,9999998;148,45862303712852;-0,050324678;-0,62562561;99,24203491210938;-1,82E-05;0;Off;-1;-1;10,65093994140625;7516,57959
2024-05-23-09:33:54.969;1372;446;445;424;452;440;452;453;416;1372;1372;1372;1372;1372;1372;1372;-26,999999;271,84041580123915;-0,048188329;-0,412002563;147,2254638671875;4,85471E-05;0;Off;-1;-1;8,453613281;7502,371094
2024-05-23-09:33:55.969;1372;442;450;424;451;440;452;452;416;1372;1372;1372;1372;1372;1372;1372;-26,9999998;439,99114557938583;-0,050263643;-0,631736755;185,57452392578125;-3,14E-05;0;Off;-1;-1;10,71197509765625;7572,904297
2024-05-23-09:33:56.969;1372;445;444;424;451;440;452;452;414;1372;1372;1372;1372;1372;1372;1372;-26,9999998;643,6572576886083;-0,047944188;-0,424209595;217,8017578;-3,37E-06;0;Off;-1;-1;8,270507813;8334,558594
2024-05-23-09:33:57.969;1372;446;444;424;451;440;451;451;414;1372;1372;1372;1372;1372;1372;1372;-26,9999998;872,5395018122292;-0,048188329;-0,43031311;238,9202117919922;-1,11E-05;0;Off;-1;-1;8,392578125;7630,751465
2024-05-23-09:33:58.969;1372;444;444;423;451;439;451;451;413;1372;1372;1372;1372;1372;1372;1372;-26,9999998;1116,7750719667054;-0,050141573;-0,619522095;248,98941040039062;-1,54E-05;0;Off;-1;-1;10,65093994140625;7665,256836
2024-05-23-09:33:59.969;1372;446;443;424;451;439;451;451;413;1372;1372;1372;1372;1372;1372;1372;-27,0000006;1366,5324876447773;-0,048066258;-0,405899048;251,45529174804688;-9,33E-05;0;Off;-1;-1;8,270507813;7768,772949
2024-05-23-09:34:00.969;1372;446;443;424;450;439;451;451;413;1372;1372;1372;1372;1372;1372;1372;-26,9999998;1615,5942710101892;-0,050263643;-0,631736755;246,84584045410156;9,83666E-06;0;Off;-1;-1;10,65093994140625;7703,313965
2024-05-23-09:34:01.969;1372;446;443;424;450;441;450;450;411;1372;1372;1372;1372;1372;1372;1372;-27,0000006;1856,380825327864;-0,048066258;-0,436416626;232,10806274414062;-7,22E-05;0;Off;-1;-1;8,392578125;8366,019531
2024-05-23-09:34:02.969;1372;447;443;423;449;437;450;450;411;1372;1372;1372;1372;1372;1372;1372;-27,0000006;2079,0770519213966;-0,047822118;-0,399795532;211,01068115234375;-7,53E-05;0;Off;-1;-1;8,453613281;7719,551758
2024-05-23-09:34:03.969;1372;446;442;423;450;437;450;449;411;1372;1372;1372;1372;1372;1372;1372;-26,9999998;2273,4611377705764;-0,050385714;-0,619522095;176,18214416503906;-1,03E-05;0;Off;-1;-1;10,65093994140625;7699,762207
2024-05-23-09:34:04.969;1372;446;442;423;450;437;448;449;411;1372;1372;1372;1372;1372;1372;1372;-26,9999998;2429,641513183365;-0,048066258;-0,405899048;134,9927978515625;4,07325E-06;0;Off;-1;-1;8,453613281;7674,390625
2024-05-23-09:34:05.969;1372;446;441;422;449;436;450;449;411;1372;1372;1372;1372;1372;1372;1372;-27,0000006;2539,463756687708;-0,050263643;-0,631736755;88,40899658203125;-6,59E-05;0;Off;-1;-1;10,65093994140625;7831,694336
2024-05-23-09:34:06.969;1372;446;442;423;449;436;449;448;414;1372;1372;1372;1372;1372;1372;1372;-26,9999998;2607,5029833080293;-0,048249364;-0,412002563;50,98033905029297;-7,56E-06;0;Off;-1;-1;8,514648438;8229,520508
2024-05-23-09:34:07.969;1372;447;442;423;449;437;449;449;418;1372;1372;1372;1372;1372;1372;1372;-26,999999;2643,788199331026;-0,04855454;-0,424209595;23,78523826599121;8,09724E-05;0;Off;-1;-1;8,453613281;7642,422363
2024-05-23-09:34:08.969;1372;447;442;428;449;438;449;448;420;1372;1372;1372;1372;1372;1372;1372;-26,9999998;2658,2669513220694;-0,050446749;-0,631736755;6,954845428466797;-7,24E-06;0;Off;-1;-1;10,52886962890625;7642,929688
2024-05-23-09:34:09.969;1372;447;442;425;449;439;449;448;422;1372;1372;1372;1372;1372;1372;1372;-27,0000006;2660,9894138595773;-0,048127294;-0,424209595;0,18989279866218567;-6,61E-05;0;Off;-1;-1;8,453613281;7671,345703
2024-05-23-09:34:10.969;1372;447;444;426;449;440;449;448;425;1372;1372;1372;1372;1372;1372;1372;-26,11434952;2661,0018406805134;-0,050446749;-0,62562561;-0,000313626;3,1914913654327393;0;Off;-1;-1;10,65093994140625;7640,899902
2024-05-23-09:34:11.969;1372;446;444;427;450;441;449;448;426;1372;1372;1372;1372;1372;1372;1372;-17,1512005;2661,0018406805134;-0,048310399;-0,43031311;-0,000132039;15,747488975524902;0;Off;-1;-1;8,392578125;8329,992188
2024-05-23-09:34:12.969;1372;449;444;428;450;442;449;448;426;1372;1372;1372;1372;1372;1372;1372;3,986312523830577;2661,0018406805134;-0,048371434;-0,412002563;-0,000865271;24,65977668762207;0;Off;-1;-1;8,392578125;7942,821777
2024-05-23-09:34:13.969;1372;447;445;429;449;443;449;448;430;1372;1372;1372;1372;1372;1372;1372;28,902882281507033;2661,0018631521607;-0,050324678;-0,62562561;0,001562764;23,525789260864258;0;Off;-1;-1;10,58990478515625;7952,462891
2024-05-23-09:34:14.969;1372;447;445;431;450;444;452;448;436;1372;1372;1372;1372;1372;1372;1372;47,600452680480856;2661,0018406805134;-0,048188329;-0,405899048;-0,000423872;12,45269775390625;0;Off;-1;-1;8,453613281;7833,216309
2024-05-23-09:34:15.969;1372;447;447;434;450;447;449;448;440;1372;1372;1372;1372;1372;1372;1372;53,697883511752906;2661,0018631521607;-0,050263643;-0,62562561;0,001528273;1,663483738899231;0;Off;-1;-1;10,58990478515625;7761,161133
2024-05-23-09:34:16.969;1372;446;447;436;449;449;449;448;445;1372;1372;1372;1372;1372;1372;1372;54,00017117942048;2661,0018406805134;-0,048249364;-0,412002563;-0,000524336;-0,000107748;0;Off;0,6140000224113464;-1;8,453613281;8192,477539
2024-05-23-09:34:17.969;1372;447;449;439;450;451;449;448;450;1372;1372;1372;1372;1372;1372;1372;54,00002114211179;2661,0018406805134;-0,048310399;-0,412002563;-0,000542049;-0,000126953;0;Off;1,6139999628067017;-1;8,270507813;7673,375488
2024-05-23-09:34:18.969;1372;447;449;441;450;453;449;448;453;1372;1372;1372;1372;1372;1372;1372;53,99999879612966;2661,0018631521607;-0,050385714;-0,62562561;0,001245169;5,50245E-05;0;Off;2,614000082015991;-1;10,58990478515625;7655,10791
2024-05-23-09:34:19.969;1372;447;451;443;450;455;449;448;456;1372;1372;1372;1372;1372;1372;1372;53,99999799805886;2661,0018406805134;-0,048188329;-0,424209595;-0,000436931;5,69377E-05;0;Off;3,614000082015991;-1;8,453613281;7723,104004
2024-05-23-09:34:20.969;1372;447;452;445;450;456;449;449;459;1372;1372;1372;1372;1372;1372;1372;53,99999799805886;2661,0018406805134;-0,050324678;-0,62562561;-0,000888131;-3,71E-05;0;Off;4,613999843597412;-1;10,52886962890625;7680,987305
2024-05-23-09:34:21.969;1372;447;452;446;456;457;449;448;462;1372;1372;1372;1372;1372;1372;1372;53,99999879612966;2661,0018631521607;-0,048310399;-0,412002563;0,000961117;-8,46E-06;0;Off;5,613999843597412;-1;8,514648438;8203,641602
2024-05-23-09:34:22.969;1372;447;453;448;450;458;449;448;463;1372;1372;1372;1372;1372;1372;1372;53,99999879612966;2661,0018406805134;-0,048249364;-0,412002563;-0,000753206;-6,03E-05;0;Off;6,613999843597412;-1;8,514648438;7672,868164
2024-05-23-09:34:23.969;1372;448;454;449;450;459;449;448;466;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048615575;-0,454727173;0,00149728;3,21488E-05;0;Off;7,613999843597412;-1;8,880859375;7999,653809
2024-05-23-09:34:24.969;1372;448;454;450;450;460;450;449;468;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,048371434;-0,424209595;-0,001667719;8,48227E-06;0;Off;8,61400032;-1;8,453613281;7735,789551
2024-05-23-09:34:25.969;1372;448;455;452;450;461;449;449;469;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,050263643;-0,62562561;0,000901516;-3,69E-06;0;Off;9,61400032;-1;10,52886962890625;7728,685547
2024-05-23-09:34:26.969;1372;449;455;454;450;462;449;449;471;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,048310399;-0,436416626;-0,000842501;9,59323E-07;0;Off;10,61400032043457;-1;8,453613281;8251,847656
2024-05-23-09:34:27.969;1372;448;456;455;450;462;450;452;472;1372;1372;1372;1372;1372;1372;1372;54,000001190342005;2661,0018406805134;-0,048249364;-0,424209595;-0,001137164;5,85286E-05;0;Off;11,61400032043457;-1;8,453613281;7727,670898
2024-05-23-09:34:28.969;1372;449;460;456;451;463;450;449;474;1372;1372;1372;1372;1372;1372;1372;53,99999959420043;2661,0018631521607;-0,048249364;-0,412002563;0,00063864;-6,36E-05;0;Off;12,61400032043457;-1;8,392578125;7744,92334
2024-05-23-09:34:29.969;1372;456;457;457;451;464;450;449;475;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048310399;-0,363166809;0,000408118;5,49517E-06;0;Off;13,61400032043457;-1;8,392578125;7696,209961
2024-05-23-09:34:30.969;1372;450;458;458;451;464;450;448;476;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,048249364;-0,405899048;-0,00130532;-1,57E-05;0;Off;14,61400032043457;-1;8,453613281;7590,664551
2024-05-23-09:34:31.969;1372;450;458;459;452;465;450;450;477;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,048249364;-0,399795532;-0,001183505;-2,25E-05;0;Off;15,61400032043457;-1;8,514648438;8182,329102
2024-05-23-09:34:32.969;1372;451;459;460;451;465;450;450;478;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048066258;-0,405899048;0,000653283;-1,32E-05;0;Off;16,61400032043457;-1;8,453613281;7544,995605
2024-05-23-09:34:33.969;1372;450;460;461;451;466;450;450;480;1372;1372;1372;1372;1372;1372;1372;54,000001190342005;2661,0018406805134;-0,048127294;-0,399795532;-0,00108085;4,81638E-05;0;Off;17,61400032043457;-1;8,514648438;7455,6875
2024-05-23-09:34:34.969;1372;450;460;462;451;464;451;450;481;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,048188329;-0,412002563;-0,00138004;-1,70E-05;0;Off;18,61400032043457;-1;8,392578125;7490,192871
2024-05-23-09:34:35.969;1372;450;460;463;452;467;451;451;481;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048188329;-0,424209595;0,00141197;-4,14E-06;0;Off;19,61400032043457;-1;8,392578125;7491,208008
2024-05-23-09:34:36.969;1372;450;461;464;451;467;451;450;483;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048310399;-0,424209595;0,001221878;-2,19E-05;0;Off;20,61400032043457;-1;8,453613281;8190,955566
2024-05-23-09:34:37.969;1372;450;461;465;451;467;451;454;483;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048127294;-0,412002563;0,000788245;-1,79E-05;0;Off;21,61400032043457;-1;8,514648438;7498,819336
2024-05-23-09:34:38.969;1372;450;462;466;452;468;451;451;484;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,047944188;-0,405899048;0,001289774;2,40946E-06;0;Off;22,61400032043457;-1;8,453613281;7526,220703
2024-05-23-09:34:39.969;1372;450;462;467;451;468;451;451;485;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048127294;-0,43031311;0,00113361;-8,91E-07;0;Off;23,61400032043457;-1;8,453613281;7648,003906
2024-05-23-09:34:40.969;1372;451;463;468;452;469;452;451;486;1372;1372;1372;1372;1372;1372;1372;53,99999959420043;2661,0018631521607;-0,048249364;-0,412002563;0,001044052;-8,94E-05;0;Off;24,61400032043457;-1;8,453613281;7501,86377
2024-05-23-09:34:41.969;1372;450;463;465;451;469;452;452;487;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,048249364;-0,424209595;-0,000474502;-1,91E-05;0;Off;25,61400032043457;-1;8,392578125;8113,826172
2024-05-23-09:34:42.969;1372;451;463;469;452;470;452;452;488;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048188329;-0,479141235;0,001224833;3,38766E-06;0;Off;26,61400032043457;-1;8,453613281;7490,700195
2024-05-23-09:34:43.969;1372;451;464;471;452;470;452;452;489;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048249364;-0,460830688;0,000960716;9,4507E-06;0;Off;27,61400032043457;-1;8,453613281;7466,34375
2024-05-23-09:34:44.969;1372;450;464;471;452;471;453;453;490;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048310399;-0,47303772;0,000635957;1,01407E-05;0;Off;28,61400032043457;-1;8,514648438;7504,400879
2024-05-23-09:34:45.969;1372;451;465;472;452;471;453;453;490;1372;1372;1372;1372;1372;1372;1372;54,000001190342005;2661,0018631521607;-0,048310399;-0,479141235;0,000664698;4,99642E-05;0;Off;29,61400032043457;-1;8,392578125;7483,596191
2024-05-23-09:34:46.969;1372;452;465;473;453;471;453;453;491;1372;1372;1372;1372;1372;1372;1372;53,99999959420043;2661,0018631521607;-0,048188329;-0,448623657;0,000842054;-6,74E-05;0;Off;30,61400032043457;-1;8,453613281;8169,643555
2024-05-23-09:34:47.969;1372;451;465;474;452;472;451;453;492;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048310399;-0,47303772;0,000730292;8,67855E-06;0;Off;31,61400032043457;-1;8,453613281;7427,778809
2024-05-23-09:34:48.969;1372;451;465;474;453;472;453;454;493;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,048127294;-0,460830688;0,000671357;-3,95E-07;0;Off;32,61399841308594;-1;8,392578125;7500,849121
2024-05-23-09:34:49.969;1372;451;466;475;453;472;454;454;493;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,999999285;-13,66313934;-0,001394163;1,59266E-05;55;Suck;33,61399841308594;0,43799999356269836;-389,7518921;7448,583496
2024-05-23-09:34:50.969;1372;451;467;476;453;473;454;454;495;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,999999285;-4,055908203;-0,001528341;4,73943E-06;55;Suck;34,61399841308594;1,437999963760376;-489,0591125;7464,821289
2024-05-23-09:34:51.969;1372;451;467;479;453;473;454;454;492;1372;1372;1372;1372;1372;1372;1372;53,99999959420043;2661,0018406805134;-0,691274166;-1,370277405;-0,001502128;-6,78E-05;55;Suck;35,61399841308594;2,437999963760376;-508,8961487;8175,225098
2024-05-23-09:34:52.969;1372;451;466;477;453;474;454;455;496;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,643787384;-1,242103577;0,000663549;-1,60E-05;55;Suck;36,61399841308594;3,437999963760376;-510,3610229;7446,046387
2024-05-23-09:34:53.969;1372;451;468;478;454;474;455;455;496;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,644519806;-1,248207092;0,000986519;-7,29E-06;55;Suck;37,61399841308594;4,438000202178955;-510,2999878;7446,553711
2024-05-23-09:34:54.969;1372;451;468;479;452;475;455;455;497;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,639636874;-1,242103577;0,000774275;-8,29E-06;55;Suck;38,61399841308594;5,438000202178955;-510,1779175;7451,120605
2024-05-23-09:34:55.969;1372;451;468;480;454;475;455;456;498;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,641773105;-1,217689514;0,000480899;-1,59E-05;55;Suck;39,61399841308594;6,438000202178955;-510,6662292;7446,553711
2024-05-23-09:34:56.969;1372;451;469;480;454;475;456;456;498;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,642627716;-1,236000061;-0,001010393;-1,98E-05;55;Suck;40,61399841308594;7,438000202178955;-510,6051941;8113,826172
2024-05-23-09:34:57.969;1372;451;469;481;456;476;457;456;499;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,639697909;-1,266517639;0,000433753;-1,76E-05;55;Suck;41,61399841308594;8,437999725341797;-510,5441589;7446,046387
2024-05-23-09:34:58.969;1372;451;469;482;455;476;456;457;500;1372;1372;1372;1372;1372;1372;1372;53,99999959420043;2661,0018631521607;-0,635425329;-1,168861389;0,000647574;-6,99E-05;55;Suck;42,61399841308594;9,437999725341797;-510,6662292;7432,345703
2024-05-23-09:34:59.969;1372;451;470;483;455;477;456;458;501;1372;1372;1372;1372;1372;1372;1372;54,000001190342005;2661,0018406805134;-0,633350015;-1,187171936;-0,001244208;5,67948E-05;55;Suck;43,61399841308594;10,437999725341797;-510,7272644;7434,375488
2024-05-23-09:35:00.969;1372;451;470;483;455;476;456;453;502;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,632068276;-1,174964905;-0,001148252;2,42726E-06;55;Suck;44,61399841308594;11,437999725341797;-510,6662292;7450,613281
2024-05-23-09:35:01.969;1372;451;471;484;455;477;457;458;502;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,640125155;-1,242103577;-0,0008861;-1,36E-05;55;Suck;45,61399841308594;12,437999725341797;-510,5441589;8194,507813
2024-05-23-09:35:02.969;1372;451;471;485;456;478;457;458;504;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,629199505;-1,174964905;-0,001411254;-2,88E-06;55;Suck;46,61399841308594;13,437999725341797;-510,7272644;7451,628418
2024-05-23-09:35:03.969;1372;451;471;486;456;478;457;459;505;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,631213784;-1,174964905;0,000708545;-1,42E-05;55;Suck;47,61399841308594;14,437999725341797;-510,7272644;7432,853027
2024-05-23-09:35:04.969;1372;451;472;487;463;479;457;459;505;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,627185345;-1,187171936;0,000307448;-4,39E-06;55;Suck;48,61399841308594;15,437999725341797;-510,6662292;7405,959473
2024-05-23-09:35:05.969;1372;451;472;490;457;480;458;459;508;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,630664468;-1,18106842;0,000946952;4,88026E-07;55;Suck;49,61399841308594;16,437999725341797;-510,6662292;7494,759766
2024-05-23-09:35:06.969;1372;452;473;492;457;481;458;460;510;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018631521607;-0,632373452;-1,199378967;0,000267676;-5,61E-06;55;Suck;50,61399841308594;17,437999725341797;-510,7272644;8250,325195
2024-05-23-09:35:07.969;1372;451;475;494;457;481;458;460;511;1372;1372;1372;1372;1372;1372;1372;54,00000039227123;2661,0018406805134;-0,633105874;-1,18106842;-0,000912177;-8,41E-07;55;Suck;51,61399841308594;18,437999725341797;-510,5441589;7542,458496
2024-05-23-09:35:08.969;1372;452;477;497;457;484;459;461;512;1372;1372;1372;1372;1372;1372;1372;53,87822037608106;2661,0018631521607;0,1488390564918518;-0,52796936;0,000579475;-0,827925265;0;Off;-1;-1;-484,9696045;7470,40332
